Time,Z19_B,Z19_D,H20_B,H20_D
2019-10-16 09:28:00+00:00,8203.0,8199.9,8262.4143,8281.083333333334
2019-10-16 09:29:00+00:00,8203.0,8193.18115942029,8262.0,8277.46875
2019-10-16 09:30:00+00:00,8199.4096,8190.5,8259.6845,
2019-10-16 09:31:00+00:00,8196.5,8190.5,8256.5,
2019-10-16 09:32:00+00:00,8197.3932,8190.5,8256.5,
2019-10-16 09:33:00+00:00,8197.3932,,8256.5,
2019-10-16 09:34:00+00:00,8196.7213,8187.556872669153,0.0,8268.064885496184
2019-10-16 09:35:00+00:00,8194.0347,8182.692944949225,8254.2303,8262.095993322204
2019-10-16 09:36:00+00:00,8191.3499,8181.048320767649,8241.3054,8264.1875
2019-10-16 09:37:00+00:00,8189.3375,8178.175572519084,8244.5,8255.22355334539
2019-10-16 09:38:00+00:00,8187.326,8186.0698784054175,8239.2684,8264.493897637796
2019-10-16 09:39:00+00:00,8189.3375,8187.334346504559,8244.0231,8265.785714285714
2019-10-16 09:40:00+00:00,8191.3499,8193.864361702128,8247.0,8268.897777777778
2019-10-16 09:41:00+00:00,8196.0495,8192.5,8247.4227,8271.029411764706
2019-10-16 09:42:00+00:00,8196.5,8190.653846153846,8254.5,8270.0
2019-10-16 09:43:00+00:00,8196.5,8192.5,8254.5,
2019-10-16 09:44:00+00:00,8196.7213,8190.181818181818,8253.549,8269.60358565737
2019-10-16 09:45:00+00:00,8193.3634,8191.0,8250.8251,8268.528301886792
2019-10-16 09:46:00+00:00,8192.5,8190.0,8252.1868,
2019-10-16 09:47:00+00:00,0.0,8193.733050847457,0.0,8272.7
2019-10-16 09:48:00+00:00,8198.7374,8200.375,8256.2748,8278.25
2019-10-16 09:49:00+00:00,8206.1382,,8266.5124,8280.162162162162
2019-10-16 09:50:00+00:00,8206.0,,8267.0,8285.572340425531
2019-10-16 09:51:00+00:00,8206.1382,8205.130081300813,8267.0,8290.85815602837
2019-10-16 09:52:00+00:00,8206.8117,8212.755555555555,8267.8793,8290.437007874016
2019-10-16 09:53:00+00:00,8212.8778,8204.045454545454,8270.5,8283.833333333334
2019-10-16 09:54:00+00:00,8206.8117,8202.509803921568,8268.5629,8285.9225
2019-10-16 09:55:00+00:00,8208.1589,8205.7,8269.2467,8286.166666666666
2019-10-16 09:56:00+00:00,8211.5,8215.916932907348,8270.5,8289.9
2019-10-16 09:57:00+00:00,8218.2774,8212.217391304348,8274.7207,8292.004694835681
2019-10-16 09:58:00+00:00,8218.5,8210.0,8276.7754,8289.0
2019-10-16 09:59:00+00:00,8218.2774,8211.804347826086,8277.0,8292.307692307691
2019-10-16 10:00:00+00:00,8218.2774,8225.608163265306,8277.0,8302.020817069997
2019-10-16 10:01:00+00:00,8229.0981,8222.54648241206,8288.4376,8304.16013215859
2019-10-16 10:02:00+00:00,8227.744,8219.672413793103,8288.4376,8303.884615384615
2019-10-16 10:03:00+00:00,8226.3903,8221.0,8285.6906,8303.815789473685
2019-10-16 10:04:00+00:00,8231.1301,8226.022635998539,0.0,8309.430856067733
2019-10-16 10:05:00+00:00,8229.0981,8228.030516431925,8286.3772,8308.0
2019-10-16 10:06:00+00:00,8235.0,8227.473365617434,8290.0,8301.992346938776
2019-10-16 10:07:00+00:00,8225.037,8223.5,8289.8118,
2019-10-16 10:08:00+00:00,8220.5,8223.4375,8285.0041,8300.9375
2019-10-16 10:09:00+00:00,8223.008,8222.055555555555,8284.5,8301.992647058823
2019-10-16 10:10:00+00:00,8225.7136,,0.0,
