Time,Z19_B,Z19_D,H20_B,H20_D,B,D
2019-10-05 12:16:00+00:00,8112.932,8125.743145743146,8177.2835,8193.826949384405,8097.52,8097.719152542373
2019-10-05 12:17:00+00:00,8111.6158,8131.5,8177.2835,8196.5,8093.02,8099.011000000004
2019-10-05 12:18:00+00:00,8116.2243,8131.5,8178.0,8198.002252252252,8097.36,8099.10559322034
2019-10-05 12:20:00+00:00,8114.5,8130.801810865191,8180.0,8194.014851485148,8099.14,8097.847457627116
2019-10-05 12:21:00+00:00,8113.5903,8127.496212121212,8180.6283,8192.5,8095.3,8096.807499999997
2019-10-05 12:26:00+00:00,8110.5,8118.121212121212,8176.6149,8186.333333333333,8088.93,8090.771500000006
2019-10-05 12:28:00+00:00,8107.6699,8120.1,8176.0,8186.211538461538,8088.73,8090.964745762711
2019-10-05 12:29:00+00:00,8107.0,8116.131578947368,8176.0,8181.914473684211,8087.51,8089.720000000003
2019-10-05 12:30:00+00:00,8104.3845,8112.216216216216,8176.0,8180.471153846154,8085.13,8086.659661016951
2019-10-05 12:31:00+00:00,8095.8549,8118.324420677362,8175.278,8185.221423796792,8080.54,8086.628333333331
2019-10-05 12:32:00+00:00,8097.8217,8128.261286974572,8168.5999,8193.96875,8086.49,8099.572711864406
2019-10-05 12:33:00+00:00,8108.3273,8132.75,8184.6456,8197.97619047619,8100.7,8100.390666666671
2019-10-05 12:35:00+00:00,8114.5,8131.25,8185.5,8195.630434782608,8097.59,8098.931186440679
2019-10-05 12:40:00+00:00,8114.5,8129.75,8181.5,8194.0,8093.21,8095.081666666666
2019-10-05 12:41:00+00:00,8114.2486,8126.321428571428,8181.2976,8188.0,8092.99,8093.557000000004
2019-10-05 12:44:00+00:00,8110.5,8126.928571428572,8183.9758,8190.625,8093.97,8094.177118644067
2019-10-05 12:47:00+00:00,8105.6983,8114.203125,8179.29,8182.166666666667,8089.58,8088.155333333335
2019-10-05 12:50:00+00:00,8097.8217,8111.8125,8172.0,8170.019706691109,8082.89,8081.6755
2019-10-05 12:51:00+00:00,8087.9974,8109.543650793651,8169.2672,8167.349788434414,8074.85,8076.836101694914
2019-10-05 12:53:00+00:00,8088.5,8110.514792899408,8165.265,8171.0429642445215,8075.19,8078.736949152536
2019-10-05 12:54:00+00:00,8089.3059,8109.371369294606,8165.9317,8165.755513204465,8079.03,8078.562666666661
2019-10-05 12:55:00+00:00,8091.2695,8101.747884344147,8163.2653,8161.32180156658,8075.23,8073.0085
2019-10-05 12:56:00+00:00,8082.7675,8109.210843373494,8153.9465,8169.940873713282,8071.87,8075.628813559318
2019-10-05 12:57:00+00:00,8090.6149,8113.758241758242,8158.6032,8171.75,8076.33,8078.273
2019-10-05 12:58:00+00:00,8094.0,8116.0,8159.9347,8174.498721227622,8078.93,8082.812711864412
2019-10-05 12:59:00+00:00,8095.1995,8116.0,8162.599,8177.75,8082.5,8082.821333333338
2019-10-05 13:00:00+00:00,8096.5104,8106.348693259973,8162.0,8173.390977443609,8081.74,8079.770666666673
2019-10-05 13:01:00+00:00,8093.8891,8102.576763485477,8159.9347,8168.0,8075.21,8074.855593220337
2019-10-05 13:02:00+00:00,8087.9974,8104.616822429906,8159.5,8167.088785046729,8070.43,8073.457166666665
2019-10-05 13:03:00+00:00,8086.6893,8108.628787878788,8159.5,8169.0,8073.41,8073.5020338982995
2019-10-05 13:06:00+00:00,8081.5,8100.867088607595,8158.6032,8159.113737581363,8065.11,8069.887166666664
2019-10-05 13:07:00+00:00,8084.0744,8103.9567307692305,8158.0,8165.375,8070.09,8071.206833333332
2019-10-05 13:10:00+00:00,8086.6893,8103.0,8158.6032,8165.5,8070.57,8073.514406779665
2019-10-05 13:15:00+00:00,8086.0354,8097.96875,8160.6006,8157.5,8070.65,8069.421694915254
2019-10-05 13:16:00+00:00,8080.1551,8087.540443379269,8153.9465,8149.292598967298,8065.68,8066.202666666665
2019-10-05 13:17:00+00:00,8071.6765,8103.627098321343,8145.3124,8166.544827586207,8065.06,8071.356440677962
2019-10-05 13:18:00+00:00,8080.8081,8100.111340391171,8145.3124,8161.363714255114,8077.88,8075.786166666663
2019-10-05 13:19:00+00:00,8087.9974,8098.1820680178635,8162.5,8159.553975903615,8072.54,8071.361833333339
2019-10-05 13:20:00+00:00,8087.3433,8098.525641025641,8161.2666,8158.410828025478,8069.58,8067.51559322034
2019-10-05 13:21:00+00:00,8084.7279,8094.5,8152.616999999999,8154.5,8063.66,8066.985166666668
2019-10-05 13:22:00+00:00,8083.0,8088.337813620072,8150.0,8149.787878787879,8062.43,8063.144406779661
2019-10-05 13:23:00+00:00,8075.5875,8086.190159574468,8145.9759,8150.605401350337,8052.3,8058.334999999996
2019-10-05 13:24:00+00:00,8072.3281,8082.240469208211,8142.6594,8141.7414383561645,8057.85,8055.283220338981
2019-10-05 13:25:00+00:00,8069.7224,8076.690631808279,8139.3456,8135.764367816092,8050.07,8050.747166666668
2019-10-05 13:26:00+00:00,8062.5655,8080.390625,8132.7261,8148.098707403055,8051.14,8049.534166666673
2019-10-05 13:27:00+00:00,8067.1184,8070.3984375,8133.0,8131.861464968153,8044.95,8043.743389830508
2019-10-05 13:28:00+00:00,8056.0702,8074.431693989071,8128.0988,8138.43634840871,8041.53,8043.338333333336
2019-10-05 13:29:00+00:00,8059.3166,8064.965183752418,8129.4204,8128.466666666666,8038.34,8037.212881355932
2019-10-05 13:30:00+00:00,8054.7725,8068.712962962963,8124.7969,8132.5722891566265,8035.25,8036.397999999997
2019-10-05 13:31:00+00:00,8054.1237,8065.78125,8123.4768,8123.416355721393,8033.21,8034.364067796616
2019-10-05 13:32:00+00:00,8046.347,8058.144787644787,8119.5193,8127.519791666667,8022.63,8028.631333333337
2019-10-05 13:33:00+00:00,8043.758000000001,8071.508220502901,8114.9071,8137.561206896552,8031.14,8035.833999999998
2019-10-05 13:34:00+00:00,8058.0177,8073.4029850746265,8131.4035,8133.757899628253,8044.45,8040.709152542369
2019-10-05 13:35:00+00:00,8063.8658,8067.510416666667,8135.3726,8132.298421052632,8035.99,8037.558666666663
2019-10-05 13:36:00+00:00,8056.0,8074.979079497908,8123.4768,8141.244339622642,8037.0,8040.327966101694
2019-10-05 13:38:00+00:00,8062.5655,8079.0,8131.4035,8140.563256325632,8044.07,8048.031333333336
2019-10-05 13:39:00+00:00,8065.1665,8083.459872611465,8132.0647,8147.026315789473,8047.29,8053.090169491526
2019-10-05 13:40:00+00:00,8070.3737,8084.573170731707,8134.7108,8140.701086956522,8047.67,8049.324333333336
2019-10-05 13:41:00+00:00,8069.7224,8078.571428571428,8134.7108,8129.3125,8045.91,8043.497966101697
2019-10-05 13:42:00+00:00,8067.7693,8079.272727272727,8131.4035,8135.754098360656,8037.56,8042.036833333336
2019-10-05 13:45:00+00:00,8063.0,8078.0,8128.0,8140.0,8045.14,8046.1929999999975
2019-10-05 13:50:00+00:00,8060.6158,8074.947552447553,8124.0,8136.0,8038.4,8043.6918333333315
2019-10-05 13:51:00+00:00,8060.5,8075.580645161291,8125.0,8139.951482479784,8043.08,8046.821355932203
2019-10-05 13:52:00+00:00,8061.9155,8098.141176470588,8130.0813,8153.967592592592,8053.0,8058.542833333328
2019-10-05 13:53:00+00:00,8080.1551,8099.9922279792745,8141.9964,8157.149350649351,8063.06,8066.778305084746
2019-10-05 13:54:00+00:00,8088.6516,8094.5,8146.6395,8150.45,8063.45,8062.464999999998
2019-10-05 13:55:00+00:00,8080.8081,8101.925342465754,8143.3225,8161.398658718331,8057.86,8065.894576271189
2019-10-05 13:56:00+00:00,8084.0744,8107.058680892337,8147.3032,8175.562182741117,8071.95,8076.168833333334
2019-10-05 13:57:00+00:00,8102.4145,8111.375,8164.5983,8172.494728915663,8082.43,8078.558333333334
2019-10-05 13:58:00+00:00,8096.5104,8112.495475113122,8160.6006,8176.741071428572,8076.68,8080.4201694915255
2019-10-05 13:59:00+00:00,8099.7894,8117.9473684210525,8161.2666,8179.406593406594,8084.33,8084.813666666664
2019-10-05 14:00:00+00:00,8104.3845,8120.212962962963,8163.9317,8183.979957805907,8084.03,8089.934406779659
2019-10-05 14:01:00+00:00,8111.6158,8121.641544117647,8173.2734,8181.154545454546,8091.64,8091.625999999996
2019-10-05 14:02:00+00:00,8113.5903,8121.0,8175.278,8176.675059952038,8093.05,8090.684067796614
2019-10-05 14:03:00+00:00,8108.9848,8118.166666666667,8173.9415,8178.0,8088.89,8089.373833333341
2019-10-05 14:04:00+00:00,8105.0,8115.25,8169.9346,8176.75,8084.41,8088.602000000002
2019-10-05 14:05:00+00:00,8105.6983,8113.097345132744,8163.9317,8177.0,8083.37,8085.169830508479
2019-10-05 14:06:00+00:00,8105.0413,8116.492647058823,8163.9317,8178.318770226537,8085.0,8086.160666666664
2019-10-05 14:07:00+00:00,8104.0,8114.54347826087,8163.5,8176.018656716418,8080.53,8085.721016949148
2019-10-05 14:08:00+00:00,8104.0,8111.663636363636,8163.9317,8175.995049504951,8083.31,8083.584333333334
2019-10-05 14:09:00+00:00,8103.0711,8106.104166666667,8161.2666,8173.0,8076.1,8075.980169491523
2019-10-05 14:10:00+00:00,8098.4775,8110.817045454545,8157.5,8174.182634730539,8073.99,8076.311999999994
2019-10-05 14:11:00+00:00,8095.0,8110.25,8155.9416,8173.034229828851,8077.17,8078.021166666672
2019-10-05 14:14:00+00:00,8095.0,8109.907407407408,8152.616999999999,8172.5,8074.93,8075.191864406781
2019-10-05 14:18:00+00:00,8095.0,8107.0,8152.0,8172.5,8070.72,8071.492333333329
2019-10-05 14:21:00+00:00,8095.0,8103.625,8152.616999999999,8172.4647887323945,8070.6,8070.556610169489
