Time,v60,spread60,v10,spread10,v2,spread2
2019-06-19 00:02:09.999999999 +0800 +08,275746.60698235,13.739999999999782,25622.985178459996,8,4727.310201710001,1.4099999999998545
2019-06-19 00:02:11.999999999 +0800 +08,277213.5950506102,13.739999999999782,30719.067359979996,7.519999999998618,7997.01060132,2.3800000000010186
2019-06-19 00:02:13.999999999 +0800 +08,278732.63957133016,13.739999999999782,29867.230815649993,6.949999999998909,5586.94109816,2.3400000000001455
2019-06-19 00:02:15.999999999 +0800 +08,284882.1104122602,13.739999999999782,34981.15882161,3.5600000000013097,11147.02984637,1.3999999999996362
2019-06-19 00:02:17.999999999 +0800 +08,284156.53202685027,17.649999999999636,38104.850171850005,7.670000000000073,8646.55842429,5.529999999998836
2019-06-19 00:02:19.999999999 +0800 +08,283465.37029193016,17.639999999999418,45926.178576430015,7.670000000000073,12548.63860629,3.8700000000008004
2019-06-19 00:02:21.999999999 +0800 +08,272198.9131326303,22,58649.638365950006,12.290000000000873,20720.47039084,5.3799999999992
2019-06-19 00:02:23.999999999 +0800 +08,246997.38314094025,21.610000000000582,66897.65472160002,10.6299999999992,13834.95745381,6.550000000001091
2019-06-19 00:02:25.999999999 +0800 +08,228681.13558828994,21.610000000000582,68582.71278227,10.149999999999636,12832.087907039999,5.720000000001164
2019-06-19 00:02:27.999999999 +0800 +08,227804.03496655994,21.610000000000582,64384.07174104001,8.770000000000437,4447.91738306,1.7900000000008731
2019-06-19 00:02:29.999999999 +0800 +08,223455.69520241994,21,61231.82372765999,8.19000000000051,9396.39059291,2.540000000000873
2019-06-19 00:02:31.999999999 +0800 +08,209981.41176972986,23.979999999999563,56235.11187860998,11.170000000000073,15723.758541789999,4.770000000000437
2019-06-19 00:02:33.999999999 +0800 +08,208454.62460512988,23.979999999999563,42977.75872254999,10.409999999999854,577.60429775,3.430000000000291
2019-06-19 00:02:35.999999999 +0800 +08,212308.33812909992,23.979999999999563,40287.91538892999,7.25,10142.244573419997,3.069999999999709
2019-06-19 00:02:37.999999999 +0800 +08,214649.85762073987,24.06999999999971,41193.40287154,7.3400000000001455,5353.404865670001,2.6900000000005093
2019-06-19 00:02:39.999999999 +0800 +08,219875.50371323994,24.06999999999971,41736.956249139985,4.860000000000582,9939.94397051,3.25
2019-06-19 00:02:41.999999999 +0800 +08,218187.68023315998,24.06999999999971,26580.678613219996,4.069999999999709,567.48090587,2.639999999999418
2019-06-19 00:02:43.999999999 +0800 +08,224946.61515179992,24.06999999999971,32850.83455125,3.7999999999992724,6847.76023578,2.5900000000001455
2019-06-19 00:02:45.999999999 +0800 +08,304702.30978266004,24.06999999999971,108850.97061927004,4.850000000000364,86142.38064144003,4.489999999999782
2019-06-19 00:02:47.999999999 +0800 +08,357259.6438441201,24.06999999999971,158359.13768802,5.789999999999054,54861.57193442,4.3400000000001455
2019-06-19 00:02:49.999999999 +0800 +08,356326.1849809302,23.969999999999345,152046.44468603,6.559999999999491,3627.2509685200002,3.8400000000001455
2019-06-19 00:02:51.999999999 +0800 +08,359202.08011762006,23.81999999999971,156816.40173012004,9.040000000000873,5337.437949960001,3.5799999999999272
2019-06-19 00:02:53.999999999 +0800 +08,363122.43875797,21.100000000000364,159539.58151262006,8.8799999999992,9570.94001828,3.3700000000008004
2019-06-19 00:02:55.999999999 +0800 +08,349891.14057633,19.899999999999636,73435.50408241998,7.780000000000655,38.30321124,0
2019-06-19 00:02:57.999999999 +0800 +08,353656.37961622997,19.799999999999272,26690.93578068,6.450000000000728,8117.00363268,3.400000000001455
2019-06-19 00:02:59.999999999 +0800 +08,349747.14100994,19.600000000000364,23182.75259222,4.030000000000655,119.06778006,2.1599999999998545
2019-06-19 00:03:01.999999999 +0800 +08,350425.45374921,19.11999999999898,21424.55580133,3.860000000000582,3579.24115907,1.889999999999418
2019-06-19 00:03:03.999999999 +0800 +08,349374.9931518,18.549999999999272,17241.932828129997,3.400000000001455,5388.31704508,0.8400000000001455
2019-06-19 00:03:05.999999999 +0800 +08,352123.32908790006,15.360000000000582,25985.067393399997,3.400000000001455,8781.437776510002,2.459999999999127
2019-06-19 00:03:07.999999999 +0800 +08,355268.2454025,15.360000000000582,26535.84714937,3.100000000000364,8667.783388650001,2.8300000000017462
2019-06-19 00:03:09.999999999 +0800 +08,357082.71121945,15.360000000000582,32958.55538797,3.100000000000364,6541.77601866,2.649999999999636
